City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Kaitangata,NZ,2022-09-10 23:15:24,-46.2817,169.8464,51.94,64,4,5.23
213,Suba,PH,2022-09-10 23:15:24,10.8438,121.0102,82.56,73,87,3.51
214,Bronnoysund,NO,2022-09-10 23:15:24,65.4625,12.1997,46.4,93,75,3.44
215,Port Keats,AU,2022-09-10 23:11:07,-14.25,129.55,81.1,68,19,5.59
216,Dubuque,US,2022-09-10 23:12:25,42.4833,-90.8668,64.62,81,100,18.41
217,Syracuse,IT,2022-09-10 23:15:25,37.0881,15.2792,78.39,70,0,2.01
218,Hambantota,LK,2022-09-10 23:15:26,6.1241,81.1185,77.88,83,96,16.13
219,Laguna,US,2022-09-10 23:15:26,38.421,-121.4238,88.32,46,0,20.71
220,Inta,RU,2022-09-10 23:15:27,66.0317,60.1659,40.15,93,100,11.9
221,Yulara,AU,2022-09-10 23:15:27,-25.2406,130.9889,57.52,68,31,16.26
222,Manokwari,ID,2022-09-10 23:15:28,-0.8667,134.0833,80.2,70,98,0.83
223,Shingu,JP,2022-09-10 23:15:28,33.7333,135.9833,79.43,73,81,6.62
224,Dembi Dolo,ET,2022-09-10 23:15:28,8.5333,34.8,57.02,89,95,3.24
225,San Carlos,VE,2022-09-10 23:12:04,9.6612,-68.5827,76.53,88,74,1.23
226,Mercedes,AR,2022-09-10 23:15:29,-34.6515,-59.4307,58.03,38,0,5.61
227,Wanning,CN,2022-09-10 23:15:30,18.8003,110.3967,76.75,87,10,3.65
228,Katherine,AU,2022-09-10 23:15:30,-14.4667,132.2667,80.92,74,75,5.75
229,Alofi,NU,2022-09-10 23:15:30,-19.0595,-169.9187,82.29,61,54,12.66
230,Codrington,AU,2022-09-10 23:16:31,-38.2667,141.9667,50.59,85,100,12.86
231,Vila Velha,BR,2022-09-10 23:16:31,-20.3297,-40.2925,75.15,65,0,19.57
232,Alice Springs,AU,2022-09-10 23:12:10,-23.7,133.8833,57.22,26,100,4.61
233,Snezhnogorsk,RU,2022-09-10 23:16:32,69.1933,33.2531,44.38,84,99,10.96
234,Harvard,US,2022-09-10 23:14:55,42.4222,-88.6137,81.68,60,1,4.03
235,Durazno,UY,2022-09-10 23:16:32,-33.4131,-56.5006,45.73,57,0,6.62
236,Barrow,US,2022-09-10 23:16:33,71.2906,-156.7887,37.42,93,100,16.11
237,Scarborough,GB,2022-09-10 23:12:10,54.2797,-0.4044,58.78,90,13,6.62
238,Rio Grande,BR,2022-09-10 23:16:33,-32.035,-52.0986,50.11,70,0,10.22
239,Turan,VN,2022-09-10 23:16:32,16.0678,108.2208,76.98,94,20,1.14
240,Luwuk,ID,2022-09-10 23:16:34,-0.9516,122.7875,76.93,79,100,2.71
241,Ponta Do Sol,PT,2022-09-10 23:16:34,32.6667,-17.1,77.0,82,97,5.14
242,Port Lincoln,AU,2022-09-10 23:13:30,-34.7333,135.8667,51.78,76,86,6.08
243,Znamenskoye,RU,2022-09-10 23:16:35,57.1281,73.8282,38.43,97,60,4.59
244,Leningradskiy,RU,2022-09-10 23:16:35,69.3833,178.4167,40.24,81,79,11.68
245,Bandarbeyla,SO,2022-09-10 23:16:36,9.4942,50.8122,78.44,77,47,20.09
246,Henderson,US,2022-09-10 23:16:36,36.0397,-114.9819,85.82,52,75,21.85
247,Kodiak,US,2022-09-10 23:16:37,57.79,-152.4072,56.71,77,100,4.61
248,Am Timan,TD,2022-09-10 23:16:37,11.0297,20.2827,72.37,94,91,4.88
249,Port Macquarie,AU,2022-09-10 23:16:37,-31.4333,152.9167,67.89,57,16,9.17
250,Sao Filipe,CV,2022-09-10 23:16:38,14.8961,-24.4956,79.47,83,48,4.88
251,Ornskoldsvik,SE,2022-09-10 23:16:38,63.2909,18.7153,49.15,93,100,0.0
252,Andra,RU,2022-09-10 23:16:39,62.5147,65.8878,36.23,95,71,4.54
253,Llanes,ES,2022-09-10 23:16:39,43.4198,-4.7549,71.11,71,1,6.89
254,Husavik,IS,2022-09-10 23:16:39,66.0449,-17.3389,48.92,98,100,9.93
255,Khasan,RU,2022-09-10 23:16:40,42.4308,130.6434,63.66,85,99,3.24
256,Diapaga,BF,2022-09-10 23:16:40,12.0708,1.7889,75.33,89,93,4.29
257,Margate,GB,2022-09-10 23:16:41,51.3813,1.3862,62.69,94,10,1.99
258,Bubaque,GW,2022-09-10 23:16:41,11.2833,-15.8333,80.62,81,97,10.25
259,Kinsale,IE,2022-09-10 23:16:41,51.7075,-8.5306,61.23,94,75,11.5
260,Souillac,MU,2022-09-10 23:16:42,-20.5167,57.5167,70.18,78,40,9.22
261,East London,ZA,2022-09-10 23:16:42,-33.0153,27.9116,67.77,72,98,4.07
262,Katsuura,JP,2022-09-10 23:16:43,35.1333,140.3,74.5,85,100,20.8
263,Ondangwa,NA,2022-09-10 23:16:43,-17.9167,15.95,70.79,17,0,9.33
264,Balakhta,RU,2022-09-10 23:16:43,55.38,91.6,43.27,74,100,2.35
265,Suleja,NG,2022-09-10 23:16:44,9.1758,7.1808,68.22,99,99,1.9
266,Liuzhou,CN,2022-09-10 23:16:45,24.3126,109.3892,76.73,87,99,1.88
267,Milkovo,RU,2022-09-10 23:16:45,54.7167,158.6167,59.52,49,64,7.43
268,San Quintin,MX,2022-09-10 23:16:45,30.4833,-115.95,77.79,72,62,13.02
269,Komsomolskiy,UZ,2022-09-10 23:16:46,40.4272,71.7189,79.52,27,68,2.3
270,Karagaylinskiy,RU,2022-09-10 23:16:46,54.172,86.5521,37.35,61,57,5.1
271,Nsanje,MW,2022-09-10 23:16:46,-16.92,35.262,72.59,69,0,6.11
272,Antananarivo,MG,2022-09-10 23:13:20,-18.9137,47.5361,51.76,100,20,5.75
273,Banda Aceh,ID,2022-09-10 23:16:47,5.5577,95.3222,79.14,79,100,9.62
274,Najran,SA,2022-09-10 23:16:47,17.4924,44.1277,75.85,28,91,1.07
275,Palu,ID,2022-09-10 23:16:48,-0.8917,119.8707,75.42,96,91,1.28
276,Menongue,AO,2022-09-10 23:16:48,-14.6585,17.691,62.02,23,19,5.55
277,Kununurra,AU,2022-09-10 23:16:49,-15.7667,128.7333,80.58,69,0,2.3
278,Kavieng,PG,2022-09-10 23:17:49,-2.5744,150.7967,82.29,77,40,13.69
279,Netrakona,BD,2022-09-10 23:17:50,24.8833,90.7167,77.97,91,93,7.14
280,Taltal,CL,2022-09-10 23:17:51,-25.4,-70.4833,56.17,74,65,3.4
281,Aripuana,BR,2022-09-10 23:17:51,-9.1667,-60.6333,87.78,38,93,1.9
282,Poltava,UA,2022-09-10 23:17:52,49.5937,34.5407,58.55,29,100,14.47
283,Saint-Augustin,CA,2022-09-10 23:17:52,51.226,-58.6502,57.25,78,0,9.17
284,Arcachon,FR,2022-09-10 23:17:53,44.5875,-1.0519,68.32,72,0,5.75
285,Barreirinhas,BR,2022-09-10 23:17:53,-2.7469,-42.8264,78.19,80,5,7.7
286,Chumikan,RU,2022-09-10 23:17:54,54.7183,135.315,48.79,90,100,5.93
287,Marsa Matruh,EG,2022-09-10 23:17:54,31.3525,27.2453,77.07,70,0,8.66
288,Aksarka,RU,2022-09-10 23:17:54,66.5606,67.7975,37.4,87,98,3.85
289,Skjervoy,NO,2022-09-10 23:17:55,70.0311,20.9714,46.4,88,100,6.35
290,Santa Maria Da Boa Vista,BR,2022-09-10 23:17:55,-8.8078,-39.8256,80.33,53,32,21.54
