,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,San Juan,AR,68.25,scattered clouds,-31.5375,-68.5364,Hotel Provincial
329,Caravelas,BR,72.18,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
330,Estelle,US,87.8,broken clouds,29.8458,-90.1067,Ohio
331,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
332,Korhogo,CI,70.63,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
334,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
335,Kawerau,NZ,61.11,broken clouds,-38.1,176.7,Tui Cottage
337,Nantucket,US,66.99,clear sky,41.2835,-70.0995,Jared Coffin House
338,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
341,Fenyi,CN,76.57,clear sky,27.8112,114.6681,Jinhao Hotel
342,Jiazi,CN,79.75,broken clouds,22.8779,116.067,Hotel Jin Hao
345,Port Elizabeth,ZA,62.89,overcast clouds,-33.918,25.5701,39 On Nile Guest House
346,Camabatela,AO,63.37,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
347,Muli,MV,81.45,broken clouds,2.9167,73.5667,Medhufushi Island Resort
348,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
349,Huarmey,PE,62.01,scattered clouds,-10.0681,-78.1522,Hotel Miramar
351,Kontagora,NG,71.26,light rain,10.3999,5.4695,Queens Guest Inn
352,Torbay,CA,61.27,overcast clouds,47.6666,-52.7314,Gallows Cove
354,Fayaoue,NC,76.24,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
356,Bhimunipatnam,IN,76.51,overcast clouds,17.8833,83.4333,Bheemili Court
358,Long,TH,75.52,scattered clouds,18.0761,99.8326,Nopphakoe Homestay
359,Terracina,IT,62.35,scattered clouds,41.2863,13.2217,Grand Hotel Palace
362,Chardara,KZ,62.69,scattered clouds,41.2547,67.9692,Жанаргул
363,Sabzevar,IR,61.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
364,Soe,ID,77.11,overcast clouds,-9.8607,124.284,Dena Hotel
365,Batticaloa,LK,78.42,scattered clouds,7.7102,81.6924,Grand Star Guest House
366,Antalaha,MG,66.31,few clouds,-14.9003,50.2788,Hotel Vitasoa
368,Atambua,ID,82.24,broken clouds,-9.1061,124.8925,Ros Muskanan
370,La Maddalena,IT,68.16,clear sky,41.2142,9.4083,Hotel Il Gabbiano
372,Camacha,PT,65.62,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
374,Tuburan,PH,80.69,broken clouds,6.6439,122.2736,GT Site
375,Pakala,IN,75.61,broken clouds,13.4667,79.1167,ViswanathBollineni guesthouse @
380,Weihai,CN,67.5,clear sky,37.5017,122.1136,Beihai Travel Resort
381,San Isidro,PE,61.02,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
382,Catamarca,AR,72.07,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
383,Lompoc,US,78.94,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
384,Tual,ID,81.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
385,Outlook,CA,72.23,clear sky,51.5001,-107.0513,Red Wheel Motel
386,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
387,Hamilton,US,62.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
388,Gazi,GR,64.2,few clouds,35.3253,25.0669,Sun Hotel
394,Strathmore,CA,79.36,scattered clouds,51.0501,-113.3852,Wheatland Hotel
395,San Ramon,US,88.02,clear sky,37.7799,-121.978,San Ramon Marriott
396,Santa Marinella,IT,67.91,broken clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
397,Bengkulu,ID,76.37,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
399,Kishni,IN,77.13,clear sky,27.0247,79.2634,श्री आंनद ग्रुप
406,Beipiao,CN,63.66,clear sky,41.7919,120.7792,Beipiao Hotel
407,Sarangani,PH,83.84,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
410,Cuamba,MZ,74.26,scattered clouds,-14.8031,36.5372,Hotel Vision
416,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
419,Curvelo,BR,80.46,few clouds,-18.7564,-44.4308,Pontal Plaza Hotel
423,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
424,Pemberton,CA,76.69,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
425,Kirakira,SB,85.1,scattered clouds,-10.4544,161.9205,SanBiz Lodge
426,Pleasanton,US,88.52,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
427,Grimshaw,CA,71.22,broken clouds,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
429,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
430,Katherine,AU,86.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
431,Khash,IR,66.02,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
432,Bindura,ZW,64.87,few clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
433,Taunggyi,MM,61.38,clear sky,20.7833,97.0333,True Treasure Hotel
435,Nagato,JP,67.32,moderate rain,34.3833,131.2,いそう庵
437,Dhidhdhoo,MV,82.53,scattered clouds,6.8833,73.1,Dhidhoo beach
438,Barela,IN,72.21,broken clouds,23.1,80.05,Jain uttam Mistan bhandar
442,Rio Pomba,BR,70.59,overcast clouds,-21.2747,-43.1792,San Marino Hotel
443,Pringsewu,ID,77.36,overcast clouds,-5.3582,104.9744,Urban Style by Front One
448,Itabira,BR,68.45,broken clouds,-19.6192,-43.2269,Premium Executive Hotel
449,Wenling,CN,73.09,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
450,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
452,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
455,Eyl,SO,77.5,broken clouds,7.9803,49.8164,Amiin Hotel
456,Harqalah,TN,78.66,broken clouds,36.0303,10.509,Dar Khadija
457,Portel,BR,76.51,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
458,Ahipara,NZ,64.45,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
460,Lagoa,PT,69.87,overcast clouds,39.05,-27.9833,Casa Das Faias
461,Iralaya,HN,80.62,overcast clouds,15.0,-83.2333,Iglesia morava renovada
466,Porto Murtinho,BR,73.65,broken clouds,-21.6989,-57.8825,Hotel Pantanal
467,Iaciara,BR,80.91,broken clouds,-14.0958,-46.6317,Hotel Matinha
468,Iwanai,JP,67.66,overcast clouds,42.9744,140.5089,いわない高原ホテル
470,Hobyo,SO,76.15,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
474,Piacabucu,BR,73.17,few clouds,-10.4056,-36.4344,Piaçabuçu News
475,Aksu,CN,66.18,clear sky,41.1231,80.2644,Pudong Holiday Hotel
477,Roswell,US,73.18,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
480,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
481,La Plaine,DM,76.64,light rain,15.3333,-61.25,Citrus Creek Plantation
483,Manado,ID,84.97,few clouds,1.487,124.8455,Aryaduta Hotel
484,Alofi,NU,73.9,moderate rain,-19.0595,-169.9187,Taloa Heights
485,Parana,AR,67.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
489,Nabire,ID,81.68,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
491,Tura,IN,72.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
494,Vanimo,PG,83.61,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
495,Itarema,BR,78.53,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
496,Shimoda,JP,75.56,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
497,Cockburn Town,TC,82.65,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
498,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
504,Huambo,AO,65.35,light rain,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
505,Kashan,IR,76.55,clear sky,33.9831,51.4364,Manouchehri Traditional House
506,San-Pedro,CI,74.55,light rain,4.7485,-6.6363,Hotel Maria
509,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
512,San Vicente De Canete,PE,61.16,few clouds,-13.0751,-76.3835,Hotel Konford
