,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Moron,AR,-34.6534,-58.6198,66.0,72,22,2.91,few clouds
323,Ahuimanu,US,21.4447,-157.8378,87.51,56,0,11.5,clear sky
324,Khani,GE,41.9563,42.9566,42.37,53,3,6.87,clear sky
325,Nong Ki,TH,14.6868,102.538,73.51,93,98,3.44,overcast clouds
326,Moose Factory,CA,51.2585,-80.6094,50.0,87,100,13.8,overcast clouds
327,San Juan,AR,-31.5375,-68.5364,68.25,23,44,9.42,scattered clouds
328,Deer Lake,CA,49.1667,-57.4316,58.86,100,100,2.3,overcast clouds
329,Caravelas,BR,-17.7125,-39.2481,72.18,92,92,6.53,overcast clouds
330,Estelle,US,29.8458,-90.1067,87.8,56,75,11.5,broken clouds
331,Buraydah,SA,26.326,43.975,72.05,26,0,5.95,clear sky
332,Korhogo,CI,9.45,-5.6333,70.63,87,97,3.29,overcast clouds
333,Amga,RU,60.8953,131.9608,34.18,85,100,7.0,overcast clouds
334,Noumea,NC,-22.2763,166.4572,82.38,99,5,10.38,clear sky
335,Kawerau,NZ,-38.1,176.7,61.11,60,73,4.0,broken clouds
336,Ilulissat,GL,69.2167,-51.1,39.22,87,100,3.44,light rain
337,Nantucket,US,41.2835,-70.0995,66.99,72,0,12.66,clear sky
338,Kununurra,AU,-15.7667,128.7333,85.98,58,65,9.22,broken clouds
339,Chowchilla,US,37.123,-120.2602,98.38,23,0,5.75,clear sky
340,Marstal,DK,54.8562,10.5173,53.51,91,100,20.62,light rain
341,Fenyi,CN,27.8112,114.6681,76.57,56,6,2.77,clear sky
342,Jiazi,CN,22.8779,116.067,79.75,78,67,18.32,broken clouds
343,Port Lincoln,AU,-34.7333,135.8667,54.59,59,68,16.64,broken clouds
344,Inuvik,CA,68.3499,-133.7218,36.46,80,75,12.66,broken clouds
345,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,100,16.11,overcast clouds
346,Camabatela,AO,-8.1881,15.375,63.37,94,100,3.27,overcast clouds
